text,label
@lauren021480 You'll need to discuss options with our baggage team directly.  Please file right away when you arrive so they can get right on it.,neutral
@AmericanAir I don’t usually do this but you’re the worst. JUST GET ME HOME!!!!,negative
"But why though, @AmericanAir? This is the second time our flight has been delayed. Our original itinerary had us getting home four hours ago. https://t.co/mksVOywF6E",negative
"RT @EtihadAirways: This is how @AlNassrFC_EN chose to celebrate Saudi Arabia National Day on their own way.

#SaudiNationalDay https://t.co…",neutral
"@easyJet our first time flying your airline, and you lost our bag. Now we’re stranded without clothes and the essentials we need for our baby. TERRIBLE communication and customer service. Based on this experience, we won’t be traveling with you again and we’ll tell others not to.",negative
"RT @Islam768: Please pray for my friend Rafik, today his neck injury got extremely worse and we had to take him to hospital and he is now b…",negative
And here we go again.. @AmericanAir delayed our flight once again 🙃,negative
Lufthansa: Stop transporting Irish greyhounds to China! Plz sign: https://t.co/DQTXyJSr7t https://t.co/PUU5pCxIYZ,negative
"RT @AeronewsGlobal: ‘From now on, that’s how you land!’ Earlier today at @HeathrowAirport: @Airbus A380 @EtihadAirways, crosswind landing d…",positive
@manairport @SingaporeAir Airbus A350-900,neutral
@dallasmavs @AmericanAir And Nick and Sam’s hosting 15th annual Seats for Soldiers event. Wounded soldiers honored with 5 star meal and court side seats at Mavs game.  Full story tonight at 10 @NBCDFW https://t.co/26sZbSqKe9,positive
"RT @Islam768: His bag is literally ripped and he is injured. This is so not called for, the air hostess on the plane definitely has somethi…",negative
The pilot just said they needed to tape the wing of the plane. ........... Y'all pray for me because @AmericanAir is really the ghetto.,negative
"RT @MigunaMiguna: HOMECOMING 
Birth Right, Constitutional Rights and Court Orders

CHANGE BY POPULAR DEMAND
Arrival: Tuesday, January 7, 20…",neutral
"@awilliamprice @BookieBaz @apgeraghty @ThomasCookUK I’ve no issues with Thomas Cooke, shit happens and I can get the money back - who I am really annoyed with is #virginatlantic and others who within minutes quadrupled there fare and forced us to pay it as we needed to be in New York last night",negative
RT @tisharowemd: Here is what i was wearing when @AmericanAir asked me to deplane for a talk. At which point I was asked  to “cover up”. Wh…,negative
RT @matthewamiller: This Barr interview is DeNiro in Goodfellas yelling at Johnny Roastbeef for buying his wife a Cadillac after the Luftha…,negative
@desondy @PatsyMcGarryIT @IrishTimes Appalling profiling. I for one would never fly @Ryanair again if that is the prevailing attitude #endracism #endbigotry,negative
"@Charcop1 I'm sorry for the late reply, Char, but I'll gladly point you in the right direction!  If you disagree with your compensation claim rejection, please reply directly to the email our claims team sent you.  Anton",neutral
@StyleCodes We now have responded to your DM.,neutral
"RT @heidishunin: Hi Lee @easyJet, me again. Seems like we havent been refunded for the return flights and as we had to drive we, er, can't…",negative
RT @Independent: Ryanair named UK's dirtiest airline https://t.co/XEBu6ugmfM,negative
