text,label
[user] RT [USER]: #Lufthansa [USER] #CANCELLED my flight three times A DAY BEFORE my flight from #,Negative
[user] [USER] Ysb thoroughly ashamed of your IT systems/developers. I am trying for the 3rd day to both,Negative
"[user] [USER] Ysb thoroughly ashamed of your IT systems/developers. I am trying for the 3rd day to both
[user] [USER] I am sorry about the technical difficulties. Please give my colleagues from the Technical S",Negative
"[user] [USER] has received its first A321neo in Frankfurt, including a new and improved seat with slimm",Neutral
[user] A [USER] #A350 touching down in Munich #planespotting #aircraftml #avgeek [URL],Neutral
[user] RT [USER]: [USER] hey Lufthansa. Delays delays delays and no updates to customers on why. 6pm,Negative
[user] I am standing at the [USER] counter right now to retrieve an item left on an airplane. I have be,Negative
"[user] I am standing at the [USER] counter right now to retrieve an item left on an airplane. I have be
[user] [USER] I'm sorry to hear we were not able to reunite you with your lost item till now and tha",Negative
"[user] I am standing at the [USER] counter right now to retrieve an item left on an airplane. I have be
[user] [USER] to provide you with an email contact for items lost on board on an aircraft to Frankfu",Negative
"[user] I am standing at the [USER] counter right now to retrieve an item left on an airplane. I have be
[user] [USER] to provide you with an email contact for items lost on board on an aircraft to Frankfu
[user] [USER] Thank you",Positive
[user] RT [USER]: [USER] you have diverted my family's flight from Madrid to Frankfurt and then can,Negative
[user] [USER] your check in agents have denied priority checkin for a FTL miles and more customer at Bu,Negative
[user] Mahlzeit! 😋 #UpInTheAir #FlyingMUC #NonstopMe #Inspiredby (at [USER] Business Lounge A26 in Fran,Positive
"[user] Mahlzeit! 😋 #UpInTheAir #FlyingMUC #NonstopMe #Inspiredby (at [USER] Business Lounge A26 in Fran
[user] Als Münchner mit Home Base [USER] sitze ich ja immer wieder gerne an meinem Herzensairport [USER]",Positive
[user] RT [USER]: .[USER] retired the oldest A320 in its fleet this week. Capping out with 30 ye,Neutral
[user] [USER] Could you please tell me when bag drop opens at Terminal 2 at [USER]? I've got,Neutral
"[user] [USER] Could you please tell me when bag drop opens at Terminal 2 at [USER]? I've got
[user] [USER] The counter opens at 4am and luggage has to be dropped off 45 minutes before departure. /N",Neutral
"[user] [USER] Could you please tell me when bag drop opens at Terminal 2 at [USER]? I've got
[user] [USER] The counter opens at 4am and luggage has to be dropped off 45 minutes before departure. /N
[user] [USER] Perfect, thank you very much for the information.",Positive
"[user] [USER] Could you please tell me when bag drop opens at Terminal 2 at [USER]? I've got
[user] [USER] The counter opens at 4am and luggage has to be dropped off 45 minutes before departure. /N
[user] [USER] Perfect, thank you very much for the information.
[user] [USER] Anytime, Anja, enjoy the flight! /Nes",Positive
"[user] RT [USER]: Much better weather [USER] today, but this was a week ago in the drizzle for [USER]",Neutral
[user] #FF [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] @,Neutral
"[user] RT [USER]: In addition to our First Class terminal in Frankfurt, our guests have access to over",Neutral
[user] RT [USER]: [USER] contacted Lufthansa to explain and ask for a date change to match the youn,Negative
[user] RT [USER]: Our special sticker #SayYesToEurope – designed for the European elections – will be i,Neutral
[user] ➡ [USER] ✈ [USER] A330-343X D-AIKC 🌍 landing at [USER] #Lufthansa #LH475 #A330 #Flughafe,Neutral
[user] Farewell my friend [USER] thank you for your service [USER],Positive
[user] RT [USER]: {Flight Review} Un vol classique entre Frankfurt et Dublin avec [USER] en Bus,Neutral
"[user] RT [USER]: Your eyes aren't deceiving you, there are that many flight attendants on just one fligh",Neutral
[user] RT [USER]: [USER] is officially the worst airline! Flight late to Frankfurt so right fo,Negative
[user] RT [USER]: [USER] [USER] And here we go again - my daughter is in Frankfurt trying to,Negative
[user] RT [USER]: What a lovely morning at the influencer networking breakfast with [USER] &a,Positive
"[user] Boardingまで時間無いからサクッと🙏 (at [USER] Senator Lounge A in Frankfurt, Hessen) [URL]",Neutral
[user] « Perfectly relaxed » 💆🏻‍♀️ Flying the [USER] #A350 #airbus from Munich to Singapore... And trul,Positive
"[user] « Perfectly relaxed » 💆🏻‍♀️ Flying the [USER] #A350 #airbus from Munich to Singapore... And trul
[user] [USER] I am glad you are enjoying your flight 🌹. /Jack [URL]",Positive
"[user] « Perfectly relaxed » 💆🏻‍♀️ Flying the [USER] #A350 #airbus from Munich to Singapore... And trul
[user] [USER] [USER] Meal photos?",Neutral
"[user] « Perfectly relaxed » 💆🏻‍♀️ Flying the [USER] #A350 #airbus from Munich to Singapore... And trul
[user] [USER] [USER] Buon viaggio Sara!",Positive
[user] [USER] need reassurance can get to Budapest,Neutral
"[user] As usual, flights between PNA & FRA are always full!! Thanks [USER] for connecting #Navarra",Positive
"[user] As usual, flights between PNA & FRA are always full!! Thanks [USER] for connecting #Navarra
[user] [USER] Always great to have you on board! Have a great flight! /Ella",Positive
[user] RT [USER]: [USER] [USER] Flight got delayed by 45 min from BLR to FRA due to which,Negative
"[user] RT [USER]: .[USER] rep 1: ""u have to cancel and rebook"". Rep 2: ""oh you'll be fine, nothing n",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers
[user] [USER] 2/3 You couldn't hold the flight a few mins? Why offer a 40 min connection option when you c",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers
[user] [USER] 2/3 You couldn't hold the flight a few mins? Why offer a 40 min connection option when you c
[user] [USER] Very sorry to hear you've missed the flight due to the short connection. Munich airport h",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers
[user] [USER] 2/3 You couldn't hold the flight a few mins? Why offer a 40 min connection option when you c
[user] [USER] ...the chance to book a more suitable connecting flight with a less stressful transfer. S",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers
[user] [USER] 2/3 You couldn't hold the flight a few mins? Why offer a 40 min connection option when you c
[user] [USER] ...the chance to book a more suitable connecting flight with a less stressful transfer. S
[user] [USER] [USER] your flight took off at 12.15pm. We were all at the gate at 11.51. Literally 1",Negative
"[user] [USER] [USER] 1/3 40 mins to make a connection, running through Munich gauntlet. 15 passengers
[user] [USER] 2/3 You couldn't hold the flight a few mins? Why offer a 40 min connection option when you c
[user] [USER] ...the chance to book a more suitable connecting flight with a less stressful transfer. S
[user] [USER] [USER] train your gate attendants in critical thinking and compassion!",Negative
"[user] RT [USER]: D-AIXH, [USER] A350-900 [USER] arriving in [USER] from Munich, flight LH4",Neutral
[user] I honestly wish l would fly first class on [USER] .. or business premium.. it's one of the class,Positive
[user] RT [USER]: I was on a [USER] flight from Toronto to Munich during game 1 of the NBA finals ([USER],Neutral
[user] RT [USER]: Classic [USER] at [USER] 1982 [URL] #AvGeek #pearsonpa,Neutral
[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s,Negative
"[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s
[user] [USER] Hi, I am sorry to hear about this. Unfortunately it is possible for the upgrade to be",Negative
"[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s
[user] [USER] I am sorry for the inconvenience caused. Please enquire about a last minute upgrade at",Negative
"[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s
[user] [USER] I am sorry for the inconvenience caused. Please enquire about a last minute upgrade at
[user] [USER] Is there a specific code or reference number I should mention from customer service? Plea",Neutral
"[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s
[user] [USER] I am sorry for the inconvenience caused. Please enquire about a last minute upgrade at
[user] [USER] Is there a specific code or reference number I should mention from customer service? Plea
[user] [USER] I'd recommend to get in touch with the Service Center once again, if they are able to",Negative
"[user] [USER] How is it possible that your website lists upgrades available but the staff at customer s
[user] [USER] I am sorry for the inconvenience caused. Please enquire about a last minute upgrade at
[user] [USER] Is there a specific code or reference number I should mention from customer service? Plea
[user] [USER] I'd recommend to get in touch with the Service Center once again, if they are able to
[user] [USER] Did not work.",Negative
"[user] RT [USER]: [USER] hi there, i have a flight on 9th june from mumbai to toronto via frankfurt.",Neutral
"[user] RT [USER]: Since April 24th, instead of the Lufthansa lettering, a call for the European electio",Neutral
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the",Neutral
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac",Neutral
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac
[user] [USER] Hi John, it was LH 490... But on Saturday, May 25. Thank you, Kim",Positive
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac
[user] [USER] Hi John, it was LH 490... But on Saturday, May 25. Thank you, Kim
[user] [USER] Please contact my colleagues via email so they can have a closer look: frankfurt-lost-",Neutral
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac
[user] [USER] Hi John, it was LH 490... But on Saturday, May 25. Thank you, Kim
[user] [USER] Please contact my colleagues via email so they can have a closer look: frankfurt-lost-
[user] [USER] Thanks so much, John! Have a great day.",Positive
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac
[user] [USER] Hi John, it was LH 490... But on Saturday, May 25. Thank you, Kim
[user] [USER] Please contact my colleagues via email so they can have a closer look: frankfurt-lost-
[user] [USER] Thanks so much, John! Have a great day.
[user] [USER] You're welcome! Enjoy your day, too! /John",Positive
"[user] [USER] Hi, is there a way to report a missing personal item online? I realized after I left the
[user] [USER] Could you please provide me with your flight number so I can hand you the right contac
[user] [USER] Hi John, it was LH 490... But on Saturday, May 25. Thank you, Kim
[user] [USER] Please contact my colleagues via email so they can have a closer look: frankfurt-lost-
[user] [USER] Thanks so much, John! Have a great day.
[user] [USER] You're welcome! Enjoy your day, too! /John
[user] [USER] 😊",Positive
[user] RT [USER]: A simple yet intelligent #DigitalTransformation [USER] CIO Jochen Göttelman,Neutral
[user] RT [USER]: Update. I file claim with [USER] so let's see. Also took this luggage to rodeo dri,Negative
[user] RT [USER]: [USER] [USER] [USER] [USER] Could you check feasibility a,Neutral
[user] RT [USER]: {Flight Review} Retour sur le vol [USER] entre Marseille [USER] et Frank,Neutral
[user] RT [USER]: Excellent flying with [USER] comfort and luxury.,Positive
[user] [USER] i have wriiten to you guys 8 times regarding my very disappointing flight with Lufthansa,Negative
"[user] [USER] i have wriiten to you guys 8 times regarding my very disappointing flight with Lufthansa
[user] [USER] Hello Shelley, I am sorry to hear about your experience and want to apologize for t",Negative
"[user] RT [USER]: Hey [USER], [USER], [USER], [USER], [USER] we are 3 fren",Neutral
[user] RT [USER]: #A320neo [USER] D-AINQ Bad Homburg vor der Höhe [URL],Neutral
"[user] [USER] Hi, I would like to travel with my dog. Last time I took him on-cabin. He is at 8.2kg wit",Neutral
"[user] [USER] Hi, I would like to travel with my dog. Last time I took him on-cabin. He is at 8.2kg wit
[user] [USER] The allowed limit for your dog combined with the kennel is 8kg, only the Check-in staff o",Neutral
"[user] [USER] Hi, I would like to travel with my dog. Last time I took him on-cabin. He is at 8.2kg wit
[user] [USER] The allowed limit for your dog combined with the kennel is 8kg, only the Check-in staff o
[user] [USER] Ok. Should I book both on-cabin and on-hold spaces beforehand? It would be troublesome if",Neutral
"[user] [USER] Hi, I would like to travel with my dog. Last time I took him on-cabin. He is at 8.2kg wit
[user] [USER] The allowed limit for your dog combined with the kennel is 8kg, only the Check-in staff o
[user] [USER] Ok. Should I book both on-cabin and on-hold spaces beforehand? It would be troublesome if
[user] [USER] Only a specific number of pets are allowed on each flight, in the cabin and in hold, so i",Neutral
"[user] Hi [USER] on your app, flight 464 is listed as ""on time"". It has not left yet. Any update on thi",Negative
