id,text,cleaned_text
1191443345580670983,"RT @Gschmoidy: Lufthansa | D-ABOB | Boeing 707-430 | HAM 21.10.2019
First flight on December 18 1959 as N31240. Delivered to Lufthansa on F…",lufthansa dabob boeing 707430 ham 21102019 first flight on december 18 1959 as n31240 delivered to lufthansa on f
1232695760862490625,"RT @carlquintanilla: BERLIN— Deutsche Lufthansa AG, Germany’s flagship airline, said it would cancel projects and slash costs and expenses,…",berlin deutsche lufthansa ag germanys flagship airline said it would cancel projects and slash costs and expenses
1172654618708520960,"@allanjude @michaeldexter Still debating options.

Thinking Delta non-stop DTW-TYO, Air Cathay TYO-BLR, then Air France/Delta BLR-DTW. Comes about 2700.

Lufthansa is cheap, but TYO-BLR goes through FRA o_0",@user @user still debating options thinking delta nonstop dtwtyo air cathay tyoblr then air francedelta blrdtw comes about 2700 lufthansa is cheap but tyoblr goes through fra o_0
1237911560552620033,This is all scam. Airline says you can reschedule your flight because of #COVID19 but you will need to pay fare difference. Now if I end up booking another ticket but what if #COVID19 gets worse in next few days. @emirates @airindiain @lufthansa @AmericanAir,this is all scam airline says you can reschedule your flight because of #covid19 but you will need to pay fare difference now if i end up booking another ticket but what if #covid19 gets worse in next few days @user @user @user @user
1167984001073573888,Lufthansa: Stop transporting Irish greyhounds to China! Plz sign: https://t.co/DQTXyJAPIT https://t.co/SAgTkWOoyd,lufthansa stop transporting irish greyhounds to china plz sign
1234462175617523713,@lufthansa dropped us to erfuhrt and nobody has a clue what we are supposed to do. No clue about the @CondorAirline flight from #frankfurtairport to Seattle and the connection from there to #PhoenixAZ for the hyperledger forum. Only tip from the poor lady here: call Lufthansa!,@user dropped us to erfuhrt and nobody has a clue what we are supposed to do no clue about the @user flight from #frankfurtairport to seattle and the connection from there to #phoenixaz for the hyperledger forum only tip from the poor lady here call lufthansa
1134088210231877632,RT @lufthansaNews: Time flies! 🕰️✈️The history of Airbus began exactly 50 years ago with the development of the #A300. Lufthansa's first #A…,time flies the history of airbus began exactly 50 years ago with the development of the #a300 lufthansas first #a
1178368099659198472,"RT @nilotic17: Some suggestions for bilateral developmental cooperation with #Sudan 🇸🇩:

- Return Lufthansa flights
- Existing 🇩🇪 Vocationa…",some suggestions for bilateral developmental cooperation with #sudan return lufthansa flights existing vocationa
1239271524198232064,"@SDAmelie Legally they have to if they are the ones who cancelled (or if a government thing is put in place) as far as I'm aware. So 🤞🏻

I went through ANA instead of Lufthansa so I have no idea how I'm gonna go about getting a refund if it comes to it 🙃",@user legally they have to if they are the ones who cancelled or if a government thing is put in place as far as im aware so i went through ana instead of lufthansa so i have no idea how im gonna go about getting a refund if it comes to it
1192481671658033161,RT @Gander_News_i5: Lufthansa plans more cost cutting as cabin crew strike over pay https://t.co/37gDXpFcuQ,lufthansa plans more cost cutting as cabin crew strike over pay
1238385448793202688,"@lufthansa Hope, I would get the response soon...also, tried to call again...wait time 75 min and no response...and of course no queue status as well...how would a customer know whether the lines are active...anyways pls resolve my clarification..",@user hope i would get the response soonalso tried to call againwait time 75 min and no responseand of course no queue status as wellhow would a customer know whether the lines are activeanyways pls resolve my clarification
1235658059717869568,@lufthansa @Lufthansa_USA I’ve been listening to the same hold music for over 3.5 hours trying to discuss my upcoming trip to Italy. Suddenly the hold music stopped. What is going on with your customer service?!? #Lufthansa #Coronavirus #lufthansacustomerservice https://t.co/EuNwCrB0Hm,@user @user ive been listening to the same hold music for over 35 hours trying to discuss my upcoming trip to italy suddenly the hold music stopped what is going on with your customer service #lufthansa #coronavirus #lufthansacustomerservice
1157601967247675392,"#DLH1CL : 1.7 km away @ 10825 ft, vertical speed 1152 ft/m and 63.1° frm hrzn, squawk 3745, heading N @ 572.3km/h 10:39:13 UTC #MovingQuickly #Lufthansa #ProbablyJustDeparted #Airport_FRA #RaspberryPi #ADSB https://t.co/pgxdU8QJiE",#dlh1cl 17 km away @ 10825 ft vertical speed 1152 ftm and 631 frm hrzn squawk 3745 heading n @ 5723kmh 103913 utc #movingquickly #lufthansa #probablyjustdeparted #airport_fra #raspberrypi #adsb
1203281716816875520,"@lufthansa Traveling recently often form SOF on your flights,...must say,your boarding is a total circus. It does not work AT ALL!",@user traveling recently often form sof on your flightsmust sayyour boarding is a total circus it does not work at all
1233714725822836736,"@MuthuiMkenya KLM Royal Dutch Airlines
Korean Air
Lion Air - Indonesia 
LOT Polish Airlines
Lufthansa- Germany
Malindo Air - Malaysia
Myanmar Airways Int.
Neos - Italy 
Oman Air
Peach Aviation - Japan 
Philippines Airlines
Qantas - Australia 
Qatar Airways 
Royal Air Maroc - Morocco 
4.",@user klm royal dutch airlines korean air lion air indonesia lot polish airlines lufthansa germany malindo air malaysia myanmar airways int neos italy oman air peach aviation japan philippines airlines qantas australia qatar airways royal air maroc morocco 4
1187341458002583552,"@lufthansa I did explain your website to your customer services op. but she insisted it would count as a checked bag and sold me the economy classic ticket.
If I need to change it to sports baggage I wouldn't need another checked-in bag &amp; to make these changes looks like 70euros charge?",@user i did explain your website to your customer services op but she insisted it would count as a checked bag and sold me the economy classic ticket if i need to change it to sports baggage i wouldnt need another checkedin bag amp to make these changes looks like 70euros charge
1235997930198306817,RT @AlexInAir: Breaking: Lufthansa is examining grounding its entire Airbus A380 fleet in light of the ongoing #coronavirus outbreak crisis,breaking lufthansa is examining grounding its entire airbus a380 fleet in light of the ongoing #coronavirus outbreak crisis
1236113109183614978,"RT @RichardEngel: As flights around the world are being canceled, Lufthansa announcing it’s cutting capacity up to 50% and the WHO saying c…",as flights around the world are being canceled lufthansa announcing its cutting capacity up to 50 and the who saying c
1204843497553113089,"RT @Olu_Mastermind: In April, I got a Job with Lufthansa Technik as a Materials Engineer/ Classification coordinator. 

4 months into my 6…",in april i got a job with lufthansa technik as a materials engineer classification coordinator 4 months into my 6
1237079495212924930,"@lrt_and @JimWatsonOttawa @Ottawa_Tourism @lufthansa 3) I'm sure you will continue to troll him till the LRT is perfectamungo, no one here disputes your #mentalillness is real.

However, beware your last statement, ""by whatever means."" It sounds threatening and your IP address is quite traceable.",@user @user @user @user 3 im sure you will continue to troll him till the lrt is perfectamungo no one here disputes your #mentalillness is real however beware your last statement by whatever means it sounds threatening and your ip address is quite traceable
